LogPoint,NEED_HUNGER,NEED_THIRST,NEED_EDUCATION,NEED_COMMUNICATION,NEED_FAITH,SLEEP,WORK,EXHAUSTION
1,0.7850917,0.8324476,0.8873527,0.7242662,0.918062,0.3796157,0.3704056,1,0.8776376
2,0.8060825,0.823875,0.8859521,0.7447722,0.9242042,0.3620782,0.3405559,1,0.8766027
3,0.8217162,0.818106,0.8888055,0.7639231,0.9257236,0.3497106,0.3110908,1,0.874629
4,0.8296086,0.8060579,0.8898677,0.7724769,0.9263946,0.3418171,0.2828932,1,0.8726222
5,0.8451167,0.7994675,0.8910264,0.7905288,0.9288245,0.3294688,0.2576072,1,0.8711128
6,0.8578813,0.7870885,0.8934771,0.8052105,0.9308795,0.3184806,0.2365352,1,0.8698421
7,0.8702214,0.7756245,0.8926021,0.8207001,0.9321916,0.3075193,0.2150487,1,0.8680322
8,0.8711423,0.7720649,0.8991267,0.8373315,0.9334168,0.2893738,0.1960497,1,0.8666231
9,0.8677016,0.7623753,0.902647,0.8564479,0.9338341,0.2772699,0.1798033,1,0.865468
10,0.8723142,0.7511661,0.9046424,0.8634768,0.9357083,0.2701117,0.1664566,1,0.8642828
11,0.881397,0.7396861,0.9062906,0.8819805,0.935518,0.2465864,0.1561305,1,0.863597
13,0.8847821,0.7279078,0.9096653,0.8933828,0.936837,0.2405962,0.1489186,1,0.8621598
14,0.8822957,0.7140963,0.910668,0.9075978,0.9380655,0.2361837,0.1448862,1,0.862079
15,0.8793335,0.7009398,0.9116734,0.9203738,0.9398525,0.2369848,0.1440696,1,0.8619632
16,0.8732263,0.6872641,0.9138829,0.9269393,0.9406054,0.2459566,0.1464765,1,0.8607723
17,0.8645265,0.6746466,0.9148997,0.9329706,0.944369,0.2566817,0.1520849,1,0.8604119
18,0.8558093,0.6636076,0.9180042,0.9349068,0.9459688,0.2678949,0.160844,1,0.8602849
19,0.8483435,0.6547488,0.919706,0.9378071,0.9475526,0.2747501,0.1726746,1,0.8596891
20,0.8392227,0.6395692,0.9231911,0.9380093,0.9499804,0.2837226,0.1874696,1,0.8594123
21,0.8290888,0.6263822,0.9248047,0.9395042,0.950205,0.2966813,0.2050948,1,0.8585917
22,0.8180057,0.6116652,0.92465,0.9378437,0.9509466,0.3174114,0.2253907,0.9999999,0.8574145
23,0.8062301,0.5964008,0.9245186,0.9362304,0.9515305,0.328681,0.2481736,0.9999276,0.8564547
