LogPoint,NEED_HUNGER,NEED_THIRST,NEED_EDUCATION,NEED_COMMUNICATION,NEED_FAITH,RECREATION,SLEEP,WORK,EXHAUSTION
1,0.5214601,0.7308453,0.5393156,0.4455552,0.4983914,0.8365409,0.3473502,1,0.8359714
2,0.5391554,0.7216993,0.5474691,0.4624742,0.4986189,0.8204696,0.312845,1,0.8342651
3,0.5577018,0.7129242,0.5543534,0.476786,0.4980999,0.8086001,0.2798051,1,0.8322988
4,0.571407,0.7010736,0.5612327,0.4866016,0.4985808,0.7974618,0.2490518,1,0.8302297
5,0.5894241,0.6888022,0.5672272,0.5002502,0.4987886,0.7845253,0.2207651,1,0.8279653
6,0.6070434,0.6760617,0.5727212,0.5108496,0.4992994,0.7742723,0.1945025,1,0.8257887
7,0.6190572,0.665347,0.5805757,0.5212615,0.4993082,0.7678965,0.1712542,1,0.8234417
8,0.6306034,0.6543549,0.5868058,0.5307695,0.4998065,0.759806,0.1510464,1,0.8208197
9,0.6366759,0.6379095,0.5979872,0.536293,0.5000322,0.7555008,0.1339988,1,0.8188613
10,0.645647,0.6237112,0.6024703,0.5390673,0.499702,0.7545924,0.1202658,1,0.816791
11,0.6517784,0.6049748,0.6082954,0.5408008,0.5011603,0.7555486,0.1099716,1,0.8147344
13,0.6567487,0.5854484,0.6101822,0.5421194,0.5006731,0.7611663,0.1032097,1,0.8125395
14,0.660778,0.5643455,0.6151127,0.5427869,0.500435,0.7689121,0.1000411,1,0.810755
15,0.6662921,0.5422074,0.6186829,0.5429088,0.4999411,0.7741684,0.1004946,1,0.8092092
16,0.6715629,0.5196149,0.6230928,0.5429643,0.5004406,0.7798536,0.1045661,1,0.8080775
17,0.6760778,0.4952179,0.6290473,0.541737,0.5001827,0.7854075,0.1122187,1,0.8077748
18,0.6778034,0.471216,0.6353549,0.5394825,0.498696,0.7957965,0.123383,1,0.8076199
19,0.678947,0.4466074,0.6407112,0.5386497,0.4971983,0.801658,0.1379581,1,0.8072903
20,0.6765378,0.4219294,0.6454109,0.5369937,0.4963324,0.8131551,0.1558119,1,0.807033
21,0.6732783,0.3971358,0.6505533,0.5350187,0.4955598,0.8204799,0.1767827,1,0.807059
22,0.6696693,0.3721441,0.6543865,0.5319681,0.4940372,0.8327879,0.2006807,1,0.8069699
23,0.6637152,0.3476505,0.6565658,0.529319,0.4927511,0.8452902,0.2272892,1,0.8073514
25,0.6564311,0.3238998,0.6572828,0.5283049,0.4909613,0.8568295,0.2563675,0.9999794,0.8075324
26,0.6483093,0.3006975,0.6570271,0.5259615,0.4894078,0.87083,0.2876522,0.9998237,0.808179
27,0.6405796,0.2780805,0.6562685,0.5217937,0.4878439,0.883589,0.3208599,0.9994165,0.809108
28,0.6320128,0.2571411,0.6542179,0.5185164,0.4860216,0.8986157,0.3556899,0.9985834,0.810537
29,0.6221436,0.2366471,0.6519777,0.5143999,0.4846825,0.9109082,0.3918268,0.9971727,0.812293
30,0.6121581,0.2173215,0.649788,0.509937,0.4828392,0.9223682,0.4289435,0.9949473,0.8144721
31,0.601281,0.1983954,0.6471621,0.5053735,0.4809844,0.9319041,0.4667034,0.991696,0.8164039
32,0.5900698,0.1813454,0.6448219,0.5007112,0.479118,0.9429145,0.504765,0.9871508,0.819016
33,0.5785031,0.1659186,0.6423852,0.4959482,0.4772402,0.9521231,0.5427835,0.9811662,0.8224864
34,0.5665482,0.1535675,0.6396718,0.4910841,0.4753507,0.961751,0.5804144,0.9736634,0.8267377
35,0.5542042,0.1417858,0.6369304,0.4861203,0.4734499,0.9690439,0.6173171,0.9645996,0.8319342
37,0.5415292,0.1323842,0.634168,0.4810604,0.4715372,0.9741216,0.6531577,0.9538677,0.8372254
38,0.5284705,0.1281484,0.6313808,0.4759026,0.469613,0.9780043,0.6876259,0.9413999,0.8432882
39,0.5155398,0.1260381,0.6285661,0.4706601,0.4676772,0.9814625,0.7205179,0.9271461,0.8483338
40,0.5017518,0.1314692,0.6257317,0.4655868,0.4657297,0.9842692,0.7516508,0.9109651,0.8541273
41,0.4878438,0.1380409,0.6228749,0.4602061,0.4637701,0.9847492,0.7809178,0.8928234,0.8608338
42,0.4737913,0.1547334,0.619995,0.4550114,0.4620332,0.9847052,0.8082129,0.8727021,0.8673476
43,0.4588725,0.1745451,0.6171029,0.4500402,0.4605355,0.983601,0.8335344,0.8505695,0.8743713
44,0.4442827,0.2039173,0.6142022,0.4450521,0.458779,0.9795743,0.8568766,0.8263991,0.881111
45,0.4290999,0.2282943,0.6112937,0.4403165,0.4574955,0.9768335,0.878334,0.8000844,0.8867743
46,0.4143738,0.2573611,0.6083779,0.4366019,0.4559857,0.9738106,0.8979021,0.7716927,0.8923286
47,0.3992538,0.2869065,0.6054671,0.4334021,0.4561853,0.972215,0.9155441,0.7414117,0.8984558
49,0.3866837,0.3193917,0.6025788,0.4302063,0.4559064,0.9687074,0.9312126,0.7094007,0.9035568
50,0.3742777,0.3498109,0.5999535,0.4292558,0.4563441,0.9624382,0.9449399,0.6758009,0.9084566
