Wall time,Step,Value
1581993828.7066684,2000,-5.537689685821533
1581993908.1395967,4000,-5.12178373336792
1581993992.3139272,6000,-3.4331982135772705
1581994071.5793567,8000,-2.1861953735351562
1581994150.7137563,10000,-1.0796231031417847
1581994229.2852771,12000,0.035591501742601395
1581994308.837197,14000,1.0112173557281494
1581994389.7426505,16000,2.0242083072662354
1581994470.5967731,18000,2.4866280555725098
1581994553.161579,20000,2.7866647243499756
1581994640.675818,22000,2.922856569290161
1581994724.471781,24000,3.2766923904418945
1581994806.203585,26000,3.477837562561035
1581994888.1699104,28000,3.500540018081665
1581994972.9726355,30000,3.6117639541625977
1581995056.0093138,32000,3.9258909225463867
1581995143.7919562,34000,4.051408290863037
1581995226.6984468,36000,3.7699203491210938
1581995309.902561,38000,3.8229141235351562
1581995395.174229,40000,3.5665383338928223
1581995478.726399,42000,2.5048716068267822
1581995566.580533,44000,3.9398610591888428
1581995650.2167723,46000,4.265610218048096
1581995730.5355291,48000,2.4725260734558105
1581995813.869774,50000,3.616605043411255
1581995896.1045196,52000,4.0418009757995605
1581995979.3566284,54000,3.943497896194458
1581996067.234426,56000,4.261862277984619
1581996151.5321956,58000,4.367204666137695
1581996235.1576536,60000,4.390137195587158
1581996317.410848,62000,4.504330635070801
1581996401.106555,64000,4.4323320388793945
1581996483.2791345,66000,4.517187595367432
1581996573.3096879,68000,4.532240867614746
1581996658.1878514,70000,4.6020188331604
1581996739.27309,72000,4.532735824584961
1581996821.9266803,74000,4.524428844451904
1581996906.1790564,76000,4.350583553314209
1581996994.1427126,78000,4.352439880371094
1581997078.0785792,80000,4.460669040679932
1581997161.0269358,82000,4.577251434326172
1581997243.9231524,84000,4.595707893371582
1581997326.9215603,86000,3.926011562347412
1581997414.8853483,88000,3.658541440963745
1581997500.9446123,90000,4.7302045822143555
1581997582.8324606,92000,4.659440040588379
1581997665.8677688,94000,4.710306644439697
1581997749.3975885,96000,4.8487653732299805
1581997833.0270343,98000,4.633953094482422
1581997921.4352458,100000,4.5723772048950195
1581998006.1426797,102000,4.633456707000732
1581998089.3591692,104000,4.650549411773682
1581998173.0020318,106000,4.634488582611084
1581998257.106424,108000,4.687663555145264
1581998346.03426,110000,4.805787086486816
1581998429.1740363,112000,4.814683437347412
1581998513.0215971,114000,4.820803642272949
1581998596.8658803,116000,4.757410049438477
1581998679.1523943,118000,4.89691686630249
1581998763.6756365,120000,4.784532070159912
1581998853.1050587,122000,4.942900657653809
1581998936.885881,124000,4.607022285461426
1581999021.5442147,126000,4.920698165893555
1581999105.977375,128000,4.63381290435791
1581999189.7590742,130000,4.668761253356934
1581999277.3216736,132000,4.683234691619873
1581999362.0270374,134000,4.655377388000488
1581999445.9913313,136000,4.717474460601807
1581999529.8745832,138000,4.693711280822754
1581999614.3054948,140000,4.808485507965088
1581999701.1633701,142000,4.843428611755371
1581999786.4222114,144000,4.9461350440979
1581999869.7715983,146000,4.873317241668701
1581999952.845307,148000,4.812051296234131
1582000036.973205,150000,4.920446872711182
1582000124.9379027,152000,4.946859836578369
1582000207.894158,154000,4.995243549346924
1582000292.7362478,156000,5.0121073722839355
1582000377.1769083,158000,4.940042972564697
1582000460.175657,160000,4.976655960083008
1582000544.119883,162000,5.032477378845215
1582000632.4584382,164000,4.962056636810303
1582000716.1706035,166000,4.929591178894043
1582000800.6013858,168000,5.091999530792236
1582000884.7455704,170000,4.870729446411133
1582000973.3134577,172000,4.4858808517456055
1582001058.2785845,174000,4.639134407043457
1582001142.2576225,176000,4.665163516998291
1582001226.2106547,178000,4.7168989181518555
1582001313.3134646,180000,4.838568210601807
1582001400.764583,182000,4.822385311126709
1582001486.1962924,184000,4.868110179901123
1582001571.203094,186000,4.954932689666748
1582001653.4707384,188000,4.826632022857666
1582001738.042603,190000,4.446028709411621
1582001827.5408013,192000,4.993653774261475
1582001911.2225525,194000,5.004701614379883
1582001995.2551985,196000,4.905955791473389
1582002079.4274275,198000,5.052691459655762
1582002164.1016502,200000,4.9671549797058105
1582002248.7074077,202000,5.0898051261901855
1582002337.7375236,204000,4.772424221038818
1582002420.9793162,206000,4.785357475280762
1582002505.8114662,208000,4.900135040283203
1582002589.9123304,210000,5.018315315246582
1582002677.2841165,212000,5.0320234298706055
1582002762.2014027,214000,5.083063125610352
1582002845.235157,216000,5.0760087966918945
1582002928.7073734,218000,5.075374603271484
1582003012.970518,220000,5.024935245513916
1582003101.8604915,222000,5.060971260070801
1582003184.6927772,224000,5.11415958404541
1582003269.2177467,226000,5.079276084899902
1582003353.39765,228000,5.117708683013916
1582003437.0492659,230000,5.175830364227295
1582003521.8848503,232000,5.148410320281982
1582003609.8395116,234000,5.1832380294799805
1582003693.739279,236000,5.194498062133789
1582003778.3966997,238000,5.167758941650391
1582003862.1517036,240000,5.033222675323486
1582003944.2043786,242000,5.116423606872559
1582004033.9379938,244000,5.126804351806641
1582004118.12009,246000,5.177724838256836
1582004202.1529539,248000,5.22282600402832
1582004288.0143998,250000,5.135223388671875
1582004370.9384258,252000,5.160242557525635
1582004460.482658,254000,5.1718573570251465
1582004545.9202504,256000,5.155766010284424
1582004628.7003596,258000,4.96460485458374
1582004714.3398204,260000,4.9197306632995605
1582004797.9701552,262000,4.933372497558594
1582004885.332388,264000,4.946857452392578
1582004971.474264,266000,4.99346399307251
1582005056.671548,268000,5.071064472198486
1582005141.972597,270000,5.14823055267334
1582005227.0975523,272000,5.117469310760498
1582005314.6364858,274000,5.064404487609863
1582005397.657505,276000,5.109039306640625
1582005482.4013093,278000,5.116848945617676
1582005566.5107143,280000,5.094746112823486
1582005648.6787083,282000,5.017127513885498
1582005737.1476,284000,4.967592239379883
1582005821.1042547,286000,5.066206932067871
1582005905.393714,288000,5.209236145019531
