Wall time,Step,Value
1581825646.9578753,2000,-5.46399450302124
1581825721.1981478,4000,-4.897383689880371
1581825796.916334,6000,-3.385066509246826
1581825871.3546755,8000,-2.703968048095703
1581825948.487745,10000,-2.4994351863861084
1581826021.7302127,12000,-2.522972822189331
1581826094.8961177,14000,-6.422689437866211
1581826166.8666816,16000,-7.0219268798828125
1581826239.7284815,18000,-6.866938591003418
1581826313.0000057,20000,-6.2829060554504395
1581826386.6395252,22000,-6.846131324768066
1581826462.071067,24000,-5.640274524688721
1581826535.5432951,26000,-5.768476963043213
1581826609.4210832,28000,-5.899048328399658
1581826683.4170916,30000,-5.985454082489014
1581826756.4903023,32000,-5.970930099487305
1581826830.3658125,34000,-5.699480056762695
1581826903.774017,36000,-5.768886566162109
1581826977.191437,38000,-5.76400089263916
1581827053.4505694,40000,-5.850186824798584
1581827126.7138786,42000,-5.8902058601379395
1581827200.3491328,44000,-5.769001007080078
1581827274.1496036,46000,-5.827963829040527
1581827347.814416,48000,-5.842689514160156
1581827422.256462,50000,-5.714624404907227
1581827495.1516564,52000,-5.86436653137207
1581827568.862438,54000,-5.995517253875732
1581827644.3427353,56000,-5.982309818267822
1581827717.9761674,58000,-5.847214221954346
1581827792.0481448,60000,-5.831254482269287
1581827864.9491065,62000,-5.722170352935791
1581827938.194891,64000,-5.798436164855957
1581828011.3708284,66000,-5.774481773376465
1581828084.8044345,68000,-5.857546329498291
1581828158.777511,70000,-5.858039855957031
1581828234.2120583,72000,-5.645905017852783
1581828307.8953822,74000,-5.7076416015625
1581828381.9033287,76000,-6.0972700119018555
1581828455.79691,78000,-5.775789260864258
1581828530.0349703,80000,-5.703808784484863
1581828603.3205662,82000,-5.827682018280029
1581828676.9690287,84000,-5.752453327178955
1581828749.492374,86000,-5.8383612632751465
1581828825.121989,88000,-5.673513889312744
1581828899.1732895,90000,-5.878868103027344
1581828972.013796,92000,-5.931386470794678
1581829045.7097046,94000,-5.801919460296631
1581829119.074661,96000,-5.830123424530029
1581829192.532344,98000,-5.774136543273926
1581829267.2861621,100000,-5.937813758850098
1581829339.8738403,102000,-6.002880096435547
1581829415.7899606,104000,-5.809410095214844
1581829489.8754525,106000,-5.956995964050293
1581829563.019851,108000,-5.743701934814453
1581829637.2579854,110000,-5.788687229156494
1581829709.9784632,112000,-5.906808853149414
1581829784.0147963,114000,-5.847214698791504
1581829857.3891978,116000,-6.031318664550781
1581829931.2124276,118000,-6.056208610534668
1581830007.4302502,120000,-5.8606414794921875
1581830080.075139,122000,-5.842288970947266
1581830153.6074278,124000,-5.950628280639648
1581830226.9497216,126000,-5.6214728355407715
1581830300.3404052,128000,-5.581839561462402
1581830374.7889066,130000,-5.8693647384643555
1581830447.933718,132000,-5.78774356842041
1581830521.295275,134000,-5.817559242248535
1581830596.5811944,136000,-6.110771656036377
1581830670.2591639,138000,-6.058431148529053
1581830744.3570623,140000,-5.993974685668945
1581830817.148879,142000,-5.795729160308838
1581830890.5246544,144000,-5.73714542388916
1581830963.6579585,146000,-5.987661361694336
1581831036.951874,148000,-5.904977798461914
1581831111.5414493,150000,-5.790166854858398
1581831186.78836,152000,-6.051788806915283
1581831260.0720832,154000,-6.067307949066162
1581831333.0691998,156000,-5.991803169250488
1581831406.3427284,158000,-5.89470911026001
1581831480.6643672,160000,-5.7981743812561035
1581831553.60093,162000,-5.893807888031006
1581831626.9969273,164000,-5.8702850341796875
1581831700.6133428,166000,-5.693881988525391
1581831773.7137516,168000,-5.7423014640808105
1581831849.9155207,170000,-5.895534515380859
1581831922.635443,172000,-5.838876247406006
1581831995.7061336,174000,-5.725619792938232
1581832068.98071,176000,-5.639256000518799
1581832142.557926,178000,-5.487013339996338
1581832216.8615017,180000,-5.785729885101318
1581832289.7818089,182000,-5.871776580810547
1581832363.1088693,184000,-5.996859550476074
1581832438.6489687,186000,-5.894098281860352
1581832511.8357906,188000,-5.616537094116211
1581832586.012533,190000,-5.871535778045654
1581832659.1187682,192000,-5.681170463562012
1581832732.7022543,194000,-5.818026065826416
1581832806.2119563,196000,-5.776537895202637
1581832879.7614439,198000,-5.738556861877441
1581832954.2691991,200000,-6.151352405548096
1581833028.901651,202000,-5.879936695098877
1581833102.3864572,204000,-5.948011875152588
1581833175.9187572,206000,-6.008509159088135
1581833249.357565,208000,-5.870981693267822
1581833323.7536657,210000,-5.841122627258301
1581833396.658302,212000,-5.9413323402404785
1581833469.8899987,214000,-5.814114570617676
1581833543.4303885,216000,-5.766006946563721
1581833619.059032,218000,-5.817742347717285
1581833693.5321553,220000,-5.857908248901367
1581833766.2616897,222000,-5.979767322540283
1581833839.7073267,224000,-5.833054065704346
1581833912.685298,226000,-5.913292407989502
1581833986.3283968,228000,-6.008790493011475
1581834060.683172,230000,-5.858230113983154
1581834134.4226449,232000,-6.031153202056885
1581834210.1978009,234000,-5.801412582397461
1581834283.7978902,236000,-5.80718469619751
1581834357.4519553,238000,-5.928346157073975
1581834431.7424524,240000,-5.853828430175781
1581834504.628027,242000,-5.904188632965088
1581834578.448195,244000,-5.923623561859131
1581834651.8825345,246000,-5.946235179901123
1581834725.5157073,248000,-5.668363094329834
1581834802.3020418,250000,-5.893831729888916
1581834875.0128481,252000,-5.916589260101318
1581834948.4808984,254000,-5.86182165145874
1581835021.7892883,256000,-5.740836143493652
1581835095.0234396,258000,-5.8442606925964355
1581835169.335934,260000,-5.866584777832031
1581835242.5270243,262000,-5.833223819732666
1581835316.337283,264000,-5.764564037322998
1581835391.694222,266000,-5.80507230758667
1581835465.0900683,268000,-5.805602073669434
1581835539.4650226,270000,-5.903110504150391
1581835612.1766984,272000,-5.895275115966797
1581835685.703025,274000,-5.84494161605835
1581835759.238831,276000,-5.738957405090332
1581835832.5521474,278000,-5.984129905700684
1581835906.8994515,280000,-5.869068622589111
1581835981.7761292,282000,-5.791446685791016
1581836054.776032,284000,-5.872634410858154
1581836128.086138,286000,-5.638283729553223
1581836201.8364553,288000,-5.777715682983398
1581836275.5577023,290000,-5.878318786621094
1581836348.714033,292000,-6.0150885581970215
1581836422.0768087,294000,-5.968925476074219
1581836495.19351,296000,-5.784019947052002
1581836570.71223,298000,-5.830938816070557
1581836645.2185938,300000,-5.680685520172119
1581836718.320838,302000,-5.842595100402832
1581836791.8459234,304000,-5.953423976898193
1581836864.759102,306000,-5.725606441497803
1581836937.8755126,308000,-5.9285454750061035
1581837012.1024265,310000,-5.725886344909668
1581837084.8810406,312000,-5.993803977966309
1581837160.6115875,314000,-5.951522350311279
1581837234.0297475,316000,-5.955092430114746
1581837307.3441877,318000,-5.740306854248047
1581837381.281304,320000,-5.864739418029785
1581837454.1947691,322000,-5.979641914367676
1581837527.6546624,324000,-5.908422470092773
1581837600.7423825,326000,-6.000550746917725
1581837673.972503,328000,-5.9149169921875
1581837747.8214514,330000,-5.783353328704834
1581837822.8653271,332000,-5.865320205688477
1581837896.5884273,334000,-5.977206707000732
1581837969.5574133,336000,-5.912657260894775
1581838043.1633294,338000,-5.804922103881836
1581838116.9555564,340000,-5.773823261260986
1581838189.6743484,342000,-5.842578887939453
1581838263.2693503,344000,-5.823169708251953
1581838336.406529,346000,-5.814230918884277
1581838411.9501364,348000,-5.8131513595581055
1581838486.2829149,350000,-5.831005573272705
1581838559.0478694,352000,-5.697955131530762
1581838632.1882195,354000,-6.007655620574951
1581838705.7211168,356000,-5.918833255767822
1581838779.3359187,358000,-5.85769510269165
1581838853.3097048,360000,-5.79396915435791
1581838926.342255,362000,-5.70825719833374
1581839002.118936,364000,-5.914721965789795
1581839075.6921966,366000,-5.9573540687561035
1581839149.4918168,368000,-5.905891418457031
1581839223.536723,370000,-5.835304260253906
1581839296.5453904,372000,-5.818047046661377
1581839369.686604,374000,-5.94363260269165
1581839443.372186,376000,-5.690467357635498
1581839516.6902,378000,-5.814089775085449
1581839592.8603756,380000,-5.903585910797119
1581839666.1472266,382000,-5.9965901374816895
1581839739.2136767,384000,-6.0385332107543945
1581839812.630398,386000,-5.9190287590026855
1581839886.1794183,388000,-5.746926307678223
1581839960.155644,390000,-5.686607360839844
1581840032.7729757,392000,-5.790882587432861
1581840105.9788277,394000,-5.768117427825928
1581840181.5420098,396000,-5.944850921630859
1581840255.5211184,398000,-5.876710891723633
1581840329.5789514,400000,-5.735130310058594
1581840402.746522,402000,-5.9681715965271
1581840476.271044,404000,-5.806190013885498
1581840549.15569,406000,-5.79501485824585
1581840622.9609213,408000,-5.878043174743652
1581840697.6524284,410000,-5.803569793701172
1581840772.676396,412000,-5.778958797454834
1581840846.4054012,414000,-5.830028057098389
1581840919.8001146,416000,-5.913948059082031
1581840993.7317545,418000,-5.825431823730469
1581841068.1878688,420000,-5.835661888122559
1581841141.2930188,422000,-5.815103054046631
1581841215.1465938,424000,-5.74802303314209
1581841288.4502444,426000,-6.005844593048096
1581841364.119857,428000,-5.900278091430664
1581841438.3598423,430000,-5.8097100257873535
1581841511.1246622,432000,-6.026909351348877
1581841584.3868415,434000,-5.865223407745361
1581841657.7746792,436000,-5.79047966003418
1581841731.089893,438000,-5.945843696594238
1581841805.4279394,440000,-5.762887001037598
1581841878.5188098,442000,-5.956096649169922
1581841951.215793,444000,-5.976846218109131
1581842026.7209694,446000,-5.732515335083008
1581842100.3569558,448000,-5.71964168548584
1581842174.3245609,450000,-5.725795269012451
1581842247.722542,452000,-5.981253623962402
1581842321.1640818,454000,-5.826666831970215
1581842394.387022,456000,-5.799317359924316
1581842467.881205,458000,-6.005034446716309
1581842542.6249833,460000,-5.969168663024902
1581842617.4423687,462000,-5.798425674438477
1581842691.0515642,464000,-5.808073043823242
1581842764.5251524,466000,-5.7166571617126465
1581842838.325556,468000,-5.8421311378479
1581842912.841362,470000,-5.86266565322876
1581842985.8882086,472000,-5.802031993865967
1581843059.1994495,474000,-5.960192680358887
1581843132.6913252,476000,-5.813466548919678
1581843208.472299,478000,-5.888922214508057
1581843283.4444687,480000,-5.821965217590332
1581843356.130304,482000,-5.756749629974365
1581843429.5296135,484000,-5.671146392822266
1581843503.0775785,486000,-5.842226505279541
1581843576.7590518,488000,-5.888699531555176
1581843650.5935628,490000,-6.074328899383545
1581843723.8045819,492000,-5.835376262664795
1581843799.1801805,494000,-5.910319805145264
1581843872.5141604,496000,-5.886878490447998
1581843945.9840767,498000,-5.7501912117004395
1581844020.8827326,500000,-5.852848052978516
